player,playerId,team,teamId,conference,division,age,position,jersey,height,teams
Dwight Howard,2730,LAL,1610612747,west,pacific,36,C-F,39.0,82,LAL.PHI.WAS.CHA.ATL.HOU.ORL
Dwight Powell,203939,DAL,1610612742,west,southwest,30,F-C,7.0,82,DAL.BOS
Dylan Windler,1629685,CLE,1610612739,east,central,25,G-F,9.0,78,CLE
Ed Davis,202334,CLE,1610612739,east,central,32,C-F,21.0,81,CLE.MIN.UTA.BKN.POR.LAL.MEM.TOR
Elfrid Payton,203901,PHX,1610612756,west,pacific,28,G,2.0,75,PHX.NYK.NOP.ORL
Elijah Hughes,1630190,POR,1610612757,west,northwest,23,G,19.0,77,POR.UTA
Eric Bledsoe,202339,POR,1610612757,west,northwest,32,G,5.0,73,LAC.NOP.MIL.PHX
Eric Gordon,201569,HOU,1610612745,west,southwest,33,G,10.0,75,HOU.NOP.NOH.LAC
Eric Paschall,1629672,UTA,1610612762,west,northwest,25,F,0.0,78,UTA.GSW
Evan Fournier,203095,NYK,1610612752,east,atlantic,29,G-F,13.0,78,NYK.BOS.ORL.DEN
Evan Mobley,1630596,CLE,1610612739,east,central,20,C,4.0,83,CLE
Facundo Campazzo,1630267,DEN,1610612743,west,northwest,30,G,7.0,70,DEN
Frank Jackson,1628402,DET,1610612765,east,central,23,G,5.0,75,DET.NOP
Frank Kaminsky,1626163,PHX,1610612756,west,pacific,28,F-C,8.0,84,PHX.CHA
Frank Ntilikina,1628373,DAL,1610612742,west,southwest,23,G,21.0,76,DAL.NYK
Franz Wagner,1630532,ORL,1610612753,east,southeast,20,F,22.0,82,ORL
Fred VanVleet,1627832,TOR,1610612761,east,atlantic,28,G,23.0,73,TOR
Furkan Korkmaz,1627788,PHI,1610612755,east,atlantic,24,G-F,30.0,79,PHI
Gabe Vincent,1629216,MIA,1610612748,east,southeast,25,G,2.0,75,MIA
Garrett Temple,202066,NOP,1610612740,west,southwest,35,G-F,41.0,77,NOP.CHI.BKN.LAC.MEM.SAC.WAS.CHA.MIL.SAS.HOU
Garrison Mathews,1629726,HOU,1610612745,west,southwest,25,G,25.0,77,HOU.WAS
Gary Clark,1629109,NOP,1610612740,west,southwest,27,F,12.0,78,NOP.PHI.DEN.ORL.HOU
Gary Harris,203914,ORL,1610612753,east,southeast,27,G,14.0,76,ORL.DEN
Gary Payton II,1627780,GSW,1610612744,west,pacific,29,G,0.0,75,GSW.WAS.LAL.MIL
Gary Trent Jr.,1629018,TOR,1610612761,east,atlantic,23,G-F,33.0,77,TOR.POR
George Hill,201588,MIL,1610612749,east,central,35,G,3.0,76,MIL.PHI.OKC.CLE.SAC.UTA.IND.SAS
Georges Niang,1627777,PHI,1610612755,east,atlantic,28,F,20.0,79,PHI.UTA.IND
Giannis Antetokounmpo,203507,MIL,1610612749,east,central,27,F,34.0,83,MIL
Goga Bitadze,1629048,IND,1610612754,east,central,22,C-F,88.0,84,IND
Goran Dragic,201609,BKN,1610612751,east,atlantic,35,G,9.0,75,BKN.TOR.MIA.PHX.HOU
Gordon Hayward,202330,CHA,1610612766,east,southeast,31,F,20.0,79,CHA.BOS.UTA
Gorgui Dieng,203476,ATL,1610612737,east,southeast,32,C,10.0,82,ATL.SAS.MEM.MIN
Grant Williams,1629684,BOS,1610612738,east,atlantic,23,F,12.0,78,BOS
Grayson Allen,1628960,MIL,1610612749,east,central,26,G,7.0,76,MIL.MEM.UTA
Greg Brown III,1630535,POR,1610612757,west,northwest,20,F,4.0,79,POR
Hamidou Diallo,1628977,DET,1610612765,east,central,23,G,6.0,77,DET.OKC
Harrison Barnes,203084,SAC,1610612758,west,pacific,29,F,40.0,80,SAC.DAL.GSW
Hassan Whiteside,202355,UTA,1610612762,west,northwest,32,C,21.0,84,UTA.SAC.POR.MIA
Haywood Highsmith,1629312,MIA,1610612748,east,southeast,25,F,24.0,76,MIA.PHI
Herbert Jones,1630529,NOP,1610612740,west,southwest,23,F,5.0,79,NOP
Ignas Brazdeikis,1629649,ORL,1610612753,east,southeast,23,F,17.0,78,ORL.PHI.NYK
Immanuel Quickley,1630193,NYK,1610612752,east,atlantic,22,G,5.0,75,NYK
Isaac Bonga,1629067,TOR,1610612761,east,atlantic,22,G,17.0,80,TOR.WAS.LAL
Isaac Okoro,1630171,CLE,1610612739,east,central,21,F-G,35.0,77,CLE
